be	HasProperty		
have	HasA		
include	None		
use	None		
be not	None		
provide	None		
make	CreatedBy-		
take	None		
be in	AtLocation		
contain	PartOf-	None	MadeOf
offer	None		
give	None		
will	Desires		
cause	Causes		
get	None		
receive	None		
do	None	CreatedBy-	
feature	None		
require	HasPrerequisite		
create	CreatedBy-	None	
reduce	None		
find	None		
can	CapableOf		
be based on	None		
be on	AtLocation		
improve	None		
become	None		
cover	None		
play	None		
consist of	DefinedAs	None	
show	None		
be called	DefinedAs		
affect	None		
leave	None	AtLocation	
bring	None		
spend	None		
involve	None		
support	None		
pay	None		
be able to	CapableOf		
increase	None		
produce	CreatedBy-	None	
be used in	None		
lose	None		
build	None	CreatedBy-	
keep	None		
need	None	Desires	HasPrerequisite
be filled with	MadeOf	PartOf-	
develop	None	CreatedBy-	
represent	None		
not be	None		
see	None		
sell	None		
feel	None		
be related to	None		
hold	None		
focus on	None		
live in	AtLocation	None	
share	None		
be associated with	None	LocatedNear	
be found in	AtLocation	None	
lead to	AtLocation	None	
be made of	MadeOf		
change	None		
be located in	AtLocation		
enjoy	None		
work with	None	LocatedNear	
look	DefinedAs	None	
be known as	DefinedAs		
add	None		
be used for	UsedFor		
relate to	None		
meet	None		
protect	None		
star	None		
remain	None		
enter	None	AtLocation	
work in	AtLocation	None	
promote	None		
prevent	None		
go to	AtLocation	None	
raise	None		
buy	None		
be at	AtLocation		
be caused by	Causes-		
save	None		
remove	None		
send	None		
follow	None		
eat	None	Desires	
serve	None		
set	None		
be made from	MadeOf		
tell	None		
seek	None		
reach	None		
be made by	CreatedBy		
explore	None		
win	None		
face	None		
be involved in			
carry			
wear			
run			
be for			
come to			
not have			
visit			
apply to			
maintain			
kill			
hit			
be named			
put			
appeared in			
identify			
go			
be published in	AtLocation	None	
comprise			
perform			
be made in			
accept			
participate in			
encourage			
open			
result in			
help			
be built in			
ask			
come with			
be subject to			
write			
gain			
experience			
learn			
come in			
love			
be n’t			
join			
discuss			
file			
form			
read			
present			
attend			
understand			
grow			
look for			
be held in	AtLocation	None	
be equipped with			
avoid			
return to			
call			
control			
describe	DefinedAs-	None	
may			
teach			
address			
be provided by			
manage			
treat			
collect			
lead			
enable			
be used by			
start			
study			
be produced by	CreatedBy		
turn			
conduct			
pass			
say			
deliver			
consider			
be founded in	AtLocation		
issue			
stay			
lack			
release			
drive			
generate			
know			
be full of			
be of			
choose			
be shown in			
move to			
be available in			
earn			
reflect			
complete			
attract			
belong to			
be likely to			
be owned by			
break			
deal with			
move			
cost			
combine			
express			
celebrate			
be used as			
be about			
destroy			
depend on			
be followed by			
cut			
mean			
draw			
examine			
own			
submit			
return			
establish			
respond to			
report			
allow			
be responsible for			
occur in			
determine			
cross			
be made with			
would			
work on			
purchase			
be made to			
ensure			
surround			
work			
connect			
achieve			
sign			
eliminate			
retain			
be written by			
access			
watch			
should			
order			
invest in			
bear			
be easy to			
place			
obtain			
serve as			
be segmented into			
be designed for			
be surrounded by			
grant			
expand			
